P48774," Direct protein sequencing,  Phosphoprotein,  Reference proteome, Cytoplasm, Transferase"
P70296," Acetylation, Nucleotide-binding,  Phosphoprotein,  ATP-binding,  Disulfide bond, 3D-structure,  Lipid-binding,  Cytoplasm, Direct protein sequencing,  Reference proteome, Serine protease inhibitor,  Protease inhibitor"
P61922," Alternative splicing,  Iron,  Reference proteome, Pyridoxal phosphate,  Mitochondrion,  Disulfide bond,  Iron-sulfur,  Aminotransferase,  Transferase, Acetylation,  Transit peptide, Direct protein sequencing,  Neurotransmitter degradation, Metal-binding"
P45376," Direct protein sequencing,  Reference proteome, Phosphoprotein,  Cytoplasm, Acetylation,  Oxidoreductase,  NADP"
Q5M8N0,Reference proteome
Q8CDN6," Transport, Proteasome,  Phosphoprotein,  Disulfide bond,  Nucleus,  Redox-active center,  Reference proteome, Cytoplasm,  Electron transport"
Q99PT1," Acetylation,  Direct protein sequencing,  Phosphoprotein, Ubl conjugation, 3D-structure,  Isopeptide bond,  Cytoplasm, GTPase activation,  Reference proteome"
Q9DB20," Membrane,  Direct protein sequencing, Hydrogen ion transport, Transport,  Ion transport,  Mitochondrion,  ATP synthesis, Acetylation,  Transit peptide, Mitochondrion inner membrane,  Reference proteome"
Q9D0M3," Membrane,  Direct protein sequencing,  Transport,  Translocase,  Respiratory chain,  Mitochondrion inner membrane,  Heme,  Mitochondrion,  Metal-binding, Reference proteome, Iron, Alternative splicing,  Transit peptide,  Transmembrane helix,  Electron transport, Transmembrane"
O08709," Peroxidase,  Direct protein sequencing,  Phosphoprotein,  Multifunctional enzyme,  Antioxidant, Reference proteome,  Hydrolase, Oxidoreductase,  Transferase,  Cytoplasm, Acetylation,  Redox-active center, Lipid degradation,  Lipid metabolism,  Lysosome"
P38647," Direct protein sequencing, Methylation,  Phosphoprotein,  Chaperone,  ATP-binding,  Mitochondrion, Reference proteome,  Nucleotide-binding, Acetylation,  Transit peptide,  Nucleus"
P09103," Membrane,  Phosphoprotein, Redox-active center,  Reference proteome,  Cell membrane, Endoplasmic reticulum,  Chaperone,  Disulfide bond,  Repeat, Acetylation,  Isomerase,  Signal"
P70333," Phosphoprotein, Ubl conjugation,  Methylation, Reference proteome,  Repeat,  Isopeptide bond, Acetylation,  Nucleus,  RNA-binding,  Ribonucleoprotein"
P14211," Acetylation,  Direct protein sequencing, Disulfide bond,  Lectin,  Chaperone, Reference proteome,  Repeat, 3D-structure,  Calcium,  Endoplasmic reticulum,  Sarcoplasmic reticulum,  Signal,  Metal-binding,  Zinc"
Q91VJ5,"Transcription regulation, Phosphoprotein,  Repeat,  mRNA processing,  mRNA splicing,  Nucleus, Immunity,  Innate immunity,  Reference proteome,  Transcription"
Q3UM45," Direct protein sequencing,  Leucine-rich repeat, Phosphoprotein,  Repeat, Acetylation,  Nucleus,  Reference proteome"
P68254," Direct protein sequencing,  Phosphoprotein,  Alternative splicing,  Reference proteome, Ubl conjugation,  Cytoplasm, Acetylation,  Nitration, Isopeptide bond"
P02088," Acetylation,  Direct protein sequencing,  Phosphoprotein,  Transport,  Iron,  Heme,  Methylation, Reference proteome, 3D-structure,  Polymorphism,  Oxygen transport, Metal-binding"
Q9D6R2," Direct protein sequencing,  Alternative splicing,  Reference proteome, Tricarboxylic acid cycle, Manganese,  NAD,  Magnesium,  Mitochondrion, Phosphoprotein, Acetylation,  Transit peptide,  Oxidoreductase,  Metal-binding"
P26043," Membrane,  Cytoskeleton,  Direct protein sequencing,  Cell membrane, Phosphoprotein, 3D-structure,  Actin-binding,  Cell projection,  Actin capping,  Reference proteome, Cytoplasm"
Q62420," Membrane,  Coiled coil,  Endosome,  SH3 domain, Phosphoprotein,  Synapse, 3D-structure,  Lipid-binding,  Cytoplasm,  Cell projection, Direct protein sequencing,  Reference proteome,  Endocytosis,  Cell junction"
Q91XH2," Direct protein sequencing,  Phosphoprotein,  Coiled coil,  Alternative splicing,  Cell cycle,  Centromere, GTP-binding, Cell projection, Reference proteome,  Flagellum,  Cell division,  Nucleotide-binding,  Chromosome,  Kinetochore,  Cytoplasm, Acetylation,  Spermatogenesis,  Differentiation, Cytoskeleton,  Cilium"
Q93092," Acetylation,  Direct protein sequencing,  Phosphoprotein, Pentose shunt, 3D-structure,  Schiff base,  Cytoplasm,  Reference proteome, Transferase"
P60335," Direct protein sequencing,  Phosphoprotein, Nucleus,  Ubl conjugation,  DNA-binding,  Isopeptide bond,  Repeat, Acetylation, RNA-binding,  Reference proteome,  Ribonucleoprotein"
Q8C1A5," Metalloprotease,  Protease,  Hydrolase, Phosphoprotein,  Cytoplasm, Acetylation,  Reference proteome,  Metal-binding,  Zinc"
P26638,"Protein biosynthesis,  Phosphoprotein,  Ligase,  ATP-binding,  Nucleotide-binding, DNA-binding,  Cytoplasm, Acetylation,  Nucleus,  Reference proteome,  Aminoacyl-tRNA synthetase"
Q61171," Peroxidase,  Direct protein sequencing,  Phosphoprotein, Disulfide bond, Redox-active center,  Reference proteome,  Antioxidant,  Cytoplasm, Acetylation,  Oxidoreductase"
Q64010," Acetylation,  Phosphoprotein, Membrane,  Alternative splicing,  Cell membrane, SH2 domain,  Repeat, 3D-structure,  Cytoplasm,  Reference proteome,  Proto-oncogene,  SH3 domain"
Q9JKK7," Cytoskeleton,  Phosphoprotein,  Alternative splicing, Actin-binding,  Cytoplasm, Direct protein sequencing,  Reference proteome"
P50396," Direct protein sequencing,  Golgi apparatus, Phosphoprotein,  GTPase activation,  Reference proteome, Cytoplasm"
Q60932," Apoptosis, Nucleotide-binding, 3D-structure,  Isopeptide bond, Direct protein sequencing,  Reference proteome, Transmembrane,  Transport,  Ubl conjugation,  Ion transport,  Lipid-binding,  Porin,  Transmembrane beta strand,  Acetylation,  Alternative splicing,  NAD,  Mitochondrion,  Mitochondrion outer membrane,  Phosphoprotein, Membrane,  Cell membrane"
Q9JJV2," Acetylation,  Direct protein sequencing,  Alternative splicing, 3D-structure,  Actin-binding,  Cytoplasm,  Reference proteome, Cytoskeleton"
Q8K0E8," Coiled coil,  Immunity,  Hemostasis, Secreted,  Disulfide bond, Glycoprotein,  Innate immunity,  Reference proteome,  Signal, Adaptive immunity,  Blood coagulation"
Q9Z2M7," Magnesium, Reference proteome,  Cytoplasm, Acetylation,  Isomerase,  Metal-binding"
Q99LC3," Acetylation,  Direct protein sequencing,  Phosphoprotein,  Flavoprotein,  Transport,  Mitochondrion, 3D-structure, Respiratory chain,  Transit peptide,  Reference proteome,  Electron transport, FAD"
P05201," Phosphoprotein, Amino-acid biosynthesis, Reference proteome,  Aminotransferase,  Pyridoxal phosphate,  Transferase,  Cytoplasm, Direct protein sequencing"
O09061," Acetylation,  Direct protein sequencing,  Phosphoprotein,  Protease,  Threonine protease, Reference proteome,  Hydrolase, 3D-structure,  Cytoplasm, Glycoprotein,  Nucleus,  Proteasome"
P26040," Membrane,  Direct protein sequencing,  Phosphoprotein,  Cell membrane, Reference proteome,  Cytoplasm, Acetylation,  Cell shape,  Cell projection,  S-nitrosylation, Cytoskeleton"
Q9D358," Acetylation,  Alternative splicing,  Hydrolase, Phosphoprotein, 3D-structure,  Protein phosphatase,  Polymorphism,  Cytoplasm,  Reference proteome"
Q9QZ88," Acetylation,  Membrane,  Transport,  Endosome,  Alternative splicing,  Zinc, 3D-structure,  Cytoplasm, Direct protein sequencing,  Reference proteome,  Metal-binding, Protein transport"
Q8BH04," GTP-binding,  Phosphoprotein,  Gluconeogenesis,  Lyase,  Decarboxylase,  Mitochondrion, Reference proteome,  Nucleotide-binding,  Manganese, Acetylation,  Transit peptide, Metal-binding"
P30275," Membrane,  Direct protein sequencing,  Phosphoprotein,  Mitochondrion, Reference proteome,  Nucleotide-binding,  Transferase, ATP-binding,  Transit peptide, Mitochondrion inner membrane,  Kinase"
Q3U9Z0," Membrane,  Transport,  Hydrolase,  Hydrogen ion transport, Direct protein sequencing,  Reference proteome, Ion transport"
Q9D883," Phosphoprotein,  Zinc-finger, Nucleus,  Methylation,  Repeat,  mRNA processing,  mRNA splicing, Spliceosome, Acetylation,  RNA-binding,  Reference proteome,  Metal-binding,  Zinc"
Q9CPV4," Phosphoprotein,  Mitochondrion, Alternative splicing,  Reference proteome, Repeat"
Q9DAR7," Acetylation,  Phosphoprotein,  Hydrolase, 3D-structure,  mRNA processing,  Cytoplasm, mRNA splicing,  Nucleus,  Reference proteome"
Q8R3M2," Acetylation,  Phosphoprotein,  Alternative splicing,  Reference proteome,  Ubl conjugation, Thiamine pyrophosphate, 3D-structure,  Isopeptide bond, Mitochondrion,  Calcium,  Glycolysis,  Transit peptide,  Nucleus, Direct protein sequencing,  Oxidoreductase,  Metal-binding"
Q8C1B7," Cytoskeleton,  GTP-binding,  Coiled coil,  Alternative splicing,  Cell cycle,  Phosphoprotein, Reference proteome, Cell junction,  Synapse,  Cell division,  Nucleotide-binding,  Cytoplasm, Acetylation,  Cell projection, Direct protein sequencing"
Q9JKB1," Phosphoprotein,  Protease,  Hydrolase,  Ubl conjugation pathway,  Reference proteome, Cytoplasm, Thiol protease"
Q8BFR5," Direct protein sequencing,  GTP-binding,  Alternative splicing,  Mitochondrion, Phosphoprotein,  Nucleotide-binding,  Protein biosynthesis, Acetylation, Elongation factor,  Transit peptide,  Reference proteome"
P51880," Transport,  Direct protein sequencing, Reference proteome,  Lipid-binding,  Cytoplasm, Acetylation"
P62715," Cytoskeleton,  Direct protein sequencing,  Phosphoprotein,  Ubl conjugation,  Methylation,  Metal-binding,  Chromosome,  Cytoplasm, Hydrolase,  Manganese,  Nucleus, Protein phosphatase,  Reference proteome, Centromere"
Q8BP92," Phosphoprotein, Reference proteome,  Repeat,  Endoplasmic reticulum, Calcium,  Signal,  Metal-binding"
Q61360," Direct protein sequencing,  Cytoskeleton,  GTP-binding,  Phosphoprotein, Motor protein,  Microtubule,  Methylation, Endocytosis,  Hydrolase, Reference proteome,  Nucleotide-binding,  Cytoplasm, Alternative splicing,  Nitration"
Q03265," Membrane,  Transport,  Phosphoprotein,  Cell membrane,  Methylation,  ATP-binding,  Mitochondrion, Reference proteome,  Nucleotide-binding,  CF(1),  Hydrogen ion transport, Mitochondrion inner membrane,  ATP synthesis, Acetylation,  Glycoprotein,  Transit peptide, Direct protein sequencing, Ion transport"
P50518," Transport,  Direct protein sequencing,  Phosphoprotein,  Hydrolase,  Hydrogen ion transport, Acetylation,  Reference proteome, Ion transport"
P17156," Cytoskeleton, Methylation,  Phosphoprotein,  Chaperone,  Stress response,  Nucleotide-binding, Spermatogenesis, ATP-binding,  Cytoplasm,  Reference proteome,  Differentiation"
O88569," Transport,  Direct protein sequencing,  Phosphoprotein,  Alternative splicing,  Secreted, Ubl conjugation, mRNA transport,  Methylation,  Repeat,  mRNA processing,  mRNA splicing,  Cytoplasm, Acetylation,  Nucleus,  RNA-binding,  Reference proteome, Isopeptide bond, Ribonucleoprotein,  Spliceosome"
Q9R1P3," Acetylation,  Direct protein sequencing, Nucleus,  Protease,  Threonine protease,  Hydrolase, 3D-structure,  Cytoplasm,  Reference proteome,  Proteasome"
Q99LC5," Transport,  Direct protein sequencing,  Phosphoprotein,  Mitochondrion, Flavoprotein,  FAD, Transit peptide, Acetylation,  Reference proteome,  Electron transport"
P60487," Membrane,  Cytoskeleton,  Cell membrane, Pyridoxal phosphate,  Magnesium,  Hydrolase, 3D-structure,  Cytoplasm,  Cell projection, Direct protein sequencing,  Reference proteome,  Metal-binding"
P17710," Membrane,  Direct protein sequencing,  Phosphoprotein,  Alternative splicing,  Immunity,  Mitochondrion, Reference proteome,  Repeat, Mitochondrion outer membrane, Inflammatory response, Allosteric enzyme, ATP-binding,  Alternative initiation,  Cytoplasm,  Glycolysis,  Innate immunity,  Nucleotide-binding,  Transferase,  Kinase"
Q8K310," Acetylation,  Direct protein sequencing,  Phosphoprotein,  Immunity,  Ubl conjugation, Reference proteome,  Repeat, 3D-structure,  Isopeptide bond,  RNA-binding, Zinc-finger,  Nucleus, Innate immunity,  Metal-binding,  Zinc"
Q9CR16," Transport,  Direct protein sequencing,  Apoptosis,  Phosphoprotein,  Chaperone,  Rotamase,  Cytoplasm, Acetylation, Isomerase,  Nucleus,  Protein transport,  TPR repeat,  Reference proteome, Repeat"
P54775," Acetylation, Proteasome,  Phosphoprotein,  ATP-binding, 3D-structure,  Nucleotide-binding,  Cytoplasm,  Nucleus, Direct protein sequencing,  Reference proteome"
P42669," Direct protein sequencing, Transcription regulation, Phosphoprotein,  DNA-binding, Acetylation,  Nucleus,  Reference proteome,  Transcription,  Activator"
Q08331," Direct protein sequencing,  Phosphoprotein, Reference proteome,  Repeat, Calcium,  Metal-binding"
Q9CZC8," Reference proteome,  Direct protein sequencing, Cytoplasm,  Exocytosis"
P46660," Phosphoprotein,  Coiled coil,  Intermediate filament,  Developmental protein, Neurogenesis, Acetylation,  Glycoprotein, Direct protein sequencing,  Reference proteome,  Differentiation"
P45591," Cytoskeleton, Phosphoprotein,  Actin-binding,  Cytoplasm, Acetylation,  Nucleus,  Reference proteome"
P62141," Direct protein sequencing,  Carbohydrate metabolism,  Phosphoprotein,  Cell cycle,  Reference proteome,  Glycogen metabolism, Cell division,  Cytoplasm,  Biological rhythms, Acetylation, Hydrolase,  Manganese,  Nucleus, Protein phosphatase,  Metal-binding"
Q9CY33," GTP-binding, Methylation, 3D-structure,  Isopeptide bond, Direct protein sequencing,  Reference proteome,  Ubl conjugation, GTP-binding,  Methylation, Reference proteome,  Cytoplasm,  Acetylation,  Cytoskeleton,  Direct protein sequencing,  Alternative splicing,  Microtubule, Ubl conjugation, Phosphoprotein,  Nucleotide-binding,  Disease mutation,  Phosphoprotein, Microtubule, Acetylation"
O88544," Acetylation, Synapse,  Signalosome, 3D-structure,  Cell junction,  Cytoplasm,  Nucleus, Direct protein sequencing,  Reference proteome,  Cytoplasmic vesicle"
Q9ERF3,"Transcription regulation,  Wnt signaling pathway,  Repeat,  WD repeat,  Cytoplasm, Acetylation,  Nucleus,  Reference proteome,  Transcription"
P42208," Membrane,  GTP-binding, 3D-structure,  Spermatogenesis, Differentiation,  Cell cycle, Cell projection, Reference proteome,  Flagellum,  Cell division,  Chromosome,  Cytoplasm,  Mitosis,  Cilium,  Acetylation,  Cytoskeleton,  Direct protein sequencing,  Centromere, Kinetochore,  Nucleotide-binding,  Phosphoprotein,  Cell membrane"
P60710," Cytoskeleton,  Ubl conjugation,  Methylation,  ATP-binding,  Nucleotide-binding,  Cytoplasm, Acetylation,  Nucleus, Direct protein sequencing,  Reference proteome, Oxidation"
Q60631," Acetylation,  Endosome,  Alternative splicing,  Golgi apparatus,  SH2 domain, Phosphoprotein,  Repeat, 3D-structure,  Cytoplasm,  Nucleus, Direct protein sequencing,  Reference proteome,  SH3 domain"
P80316," Cytoskeleton,  Ubl conjugation,  Chaperone,  ATP-binding, Phosphoprotein,  Isopeptide bond,  Nucleotide-binding,  Cytoplasm, Acetylation, Direct protein sequencing,  Reference proteome"
Q9D819," Direct protein sequencing,  Phosphoprotein,  Magnesium,  Hydrolase,  Cytoplasm, Acetylation,  Reference proteome, Metal-binding"
P35700," Peroxidase,  Direct protein sequencing, Disulfide bond,  Reference proteome,  Ubl conjugation,  Antioxidant, Phosphoprotein,  Isopeptide bond,  Cytoplasm, Acetylation,  Redox-active center,  Oxidoreductase"
P68368," Direct protein sequencing,  Cytoskeleton,  Reference proteome,  Microtubule, GTP-binding,  Methylation, Phosphoprotein,  Nucleotide-binding,  Cytoplasm, Acetylation,  Nitration"
Q7TMM9," Direct protein sequencing,  Cytoskeleton,  Ubl conjugation,  Microtubule, GTP-binding,  Methylation, Phosphoprotein,  Isopeptide bond,  Nucleotide-binding,  Cytoplasm, Acetylation,  Reference proteome"
Q9Z2I9," Direct protein sequencing,  Phosphoprotein,  Ligase,  Magnesium,  ATP-binding,  Mitochondrion,  Nucleotide-binding, Reference proteome, Acetylation,  Transit peptide,  Tricarboxylic acid cycle, Metal-binding"
Q3U5Q7," Coiled coil,  Reference proteome,  Mitochondrion,  Nucleotide-binding,  Transferase, ATP-binding,  Transit peptide, Pyrimidine biosynthesis,  Kinase"
P26443," Direct protein sequencing,  GTP-binding, Nucleotide-binding,  Phosphoprotein,  Reference proteome, Endoplasmic reticulum,  ATP-binding,  Mitochondrion, Transit peptide, Acetylation,  Oxidoreductase,  ADP-ribosylation,  NADP"
Q00612," Membrane,  Direct protein sequencing,  Carbohydrate metabolism,  Phosphoprotein, Reference proteome,  Cytoplasm, Acetylation, Glucose metabolism,  Oxidoreductase,  NADP"
Q8BH56," Membrane, Cell junction,  Endocytosis,  Transport,  Immunity,  Golgi apparatus,  Adaptive immunity, Endosome, Reference proteome,  Synapse,  Cytoplasm,  Cell projection,  SH3 domain,  Cytoskeleton,  Direct protein sequencing,  Coiled coil,  Alternative splicing,  Phosphoprotein,  Cell membrane, Cytoplasmic vesicle,  Actin-binding, Acetylation"
Q02053," Acetylation,  Phosphoprotein, Nucleus,  Ligase,  Ubl conjugation, Ubl conjugation pathway,  ATP-binding,  Mitochondrion,  Repeat, 3D-structure,  Nucleotide-binding,  Cytoplasm, Direct protein sequencing,  Reference proteome"
P08113," Direct protein sequencing, Disulfide bond,  Chaperone,  ATP-binding, Phosphoprotein,  Nucleotide-binding,  Calcium, Acetylation,  Glycoprotein,  Endoplasmic reticulum,  Sarcoplasmic reticulum,  Reference proteome,  Signal"
Q62188," Direct protein sequencing,  Phosphoprotein, Cell projection, Reference proteome,  Cytoplasm"
Q9R0P3," Hydrolase, Serine esterase,  Cytoplasm, Acetylation,  Reference proteome,  Cytoplasmic vesicle"
Q9ERD7," Cytoskeleton,  Direct protein sequencing,  Microtubule, GTP-binding, Cell projection, Phosphoprotein,  Isopeptide bond,  Nucleotide-binding,  Cytoplasm,  Reference proteome"
Q76MZ3," Acetylation, Chromosome,  Membrane,  Centromere,  Cell membrane, Reference proteome,  Repeat, 3D-structure,  Cytoplasm,  Cell projection,  Nucleus,  Chromosome partition"
O88935," Alternative splicing,  Golgi apparatus,  Methylation, Actin-binding, Phosphoprotein,  Repeat,  Synapse,  Glycoprotein, Direct protein sequencing,  Reference proteome,  Cell junction"
