,Uniprot Entry,Accession Name,Organism,Keywords,GO Cellular Components,GO ID CC,GO Molecular Function,GO ID MF,GO Biological Process,GO ID BP,Name,Biological Process Label,Molecular Function Label,Cellular Component Label
44,A2AM65,A2AM65_MOUSE,Mus musculus (Mouse),"ECO:0000213|MaxQB:A2AM65, ECO:0000213|PeptideAtlas:A2AM65}, Proteomics identification {ECO:0000213|EPD:A2AM65,, Reference proteome {ECO:0000313|Proteomes:UP000000589}, DNA-binding {ECO:0000256|ARBA:ARBA00023125, ECO:0000256|RuleBase:RU003894}, Chromosome {ECO:0000256|RuleBase:RU003894}, Nucleus {ECO:0000256|RuleBase:RU003894}","nucleosome IEA, nucleus IEA","GO:0000786, GO:0005634","DNA binding IEA, chromatin binding IEA","GO:0003677, GO:0003682","regulation of transcription, DNA-templated IEA, nucleosome assembly IEA, heterochromatin organization IEA","GO:0006355, GO:0070828, GO:0006334",Heterochromatin protein 1-binding protein 3 {ECO:0000256|ARBA:ARBA00019297},"GO:0009987, GO:0065007",GO:0005488,"GO:0032993, GO:0044815, GO:0043229, GO:0043227"
45,A2AM78,A2AM78_MOUSE,Mus musculus (Mouse),"ATP-binding {ECO:0000256|ARBA:ARBA00022840}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Proteomics identification {ECO:0000213|EPD:A2AM78}, Nucleotide-binding {ECO:0000256|ARBA:ARBA00022840}",,,"protein serine/threonine kinase activity IEA, ATP binding IEA","GO:0004674, GO:0005524",autophagy of mitochondrion IEA,GO:0000422,,"GO:0008152, GO:0009987","GO:0005488, GO:0003824",
46,A2AMG5,A2AMG5_MOUSE,Mus musculus (Mouse),"ECO:0000213|MaxQB:A2AMG5, ECO:0000213|PeptideAtlas:A2AMG5}, Cell cycle {ECO:0000256|ARBA:ARBA00023306}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Meiosis {ECO:0000256|ARBA:ARBA00023254}, Proteomics identification {ECO:0000213|EPD:A2AMG5,, Chromosome {ECO:0000256|ARBA:ARBA00022895}, Telomere {ECO:0000256|ARBA:ARBA00022895}","Mre11 complex IEA, chromosome, telomeric region IEA","GO:0030870, GO:0000781",,,"meiotic cell cycle IEA, telomere maintenance IEA, mitotic G2 DNA damage checkpoint IEA, double-strand break repair IEA","GO:0051321, GO:0000723, GO:0007095, GO:0006302",Nibrin {ECO:0000256|ARBA:ARBA00020013},"GO:0050896, GO:0022414, GO:0065007, GO:0008152, GO:0009987",,"GO:0140513, GO:0098687"
47,A2AMQ5,A2AMQ5_MOUSE,Mus musculus (Mouse),"Lipid biosynthesis {ECO:0000256|ARBA:ARBA00023209,, Proteomics identification {ECO:0000213|EPD:A2AMQ5,, Phospholipid biosynthesis {ECO:0000256|ARBA:ARBA00023209,, Reference proteome {ECO:0000313|Proteomes:UP000000589}, ECO:0000213|MaxQB:A2AMQ5, ECO:0000213|PeptideAtlas:A2AMQ5}, ECO:0000256|PIRNR:PIRNR018269, ECO:0000256|RuleBase:RU003938}, ECO:0000256|RuleBase:RU003938}, Nucleotidyltransferase {ECO:0000256|ARBA:ARBA00022695,, Transferase {ECO:0000256|ARBA:ARBA00022695, ECO:0000256|PIRNR:PIRNR018269,, Membrane {ECO:0000256|ARBA:ARBA00022989, ECO:0000256|PIRNR:PIRNR018269}, Transmembrane helix {ECO:0000256|ARBA:ARBA00022989,, ECO:0000256|PIRNR:PIRNR018269}, Phospholipid metabolism {ECO:0000256|ARBA:ARBA00023209,, Lipid metabolism {ECO:0000256|ARBA:ARBA00023209,, Transmembrane {ECO:0000256|ARBA:ARBA00022989,",integral component of membrane IEA,GO:0016021,phosphatidate cytidylyltransferase activity IEA,GO:0004605,CDP-diacylglycerol biosynthetic process IEA,GO:0016024,"Phosphatidate cytidylyltransferase {ECO:0000256|ARBA:ARBA00012487, ECO:0000256|PIRNR:PIRNR018269, ECO:0000256|RuleBase:RU003938}","GO:0008152, GO:0009987",GO:0003824,
48,A2AP32,A2AP32_MOUSE,Mus musculus (Mouse),"Transport {ECO:0000256|ARBA:ARBA00022448}, ECO:0000213|MaxQB:A2AP32, ECO:0000213|PeptideAtlas:A2AP32}, Transmembrane {ECO:0000256|ARBA:ARBA00022989}, Proteomics identification {ECO:0000213|EPD:A2AP32,, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Membrane {ECO:0000256|ARBA:ARBA00022989}, Transmembrane helix {ECO:0000256|ARBA:ARBA00022989}","integral component of membrane IEA, mitochondrial respiratory chain complex I IEA","GO:0005747, GO:0016021",,,"mitochondrial electron transport, NADH to ubiquinone IEA",GO:0006120,Complex I-B17 {ECO:0000256|ARBA:ARBA00015297},"GO:0008152, GO:0009987",,"GO:0098796, GO:1902494, GO:0098798"
49,A2AP93,A2AP93_MOUSE,Mus musculus (Mouse),"Nucleotide-binding {ECO:0000256|ARBA:ARBA00022840,, ECO:0000213|MaxQB:A2AP93, ECO:0000213|PeptideAtlas:A2AP93}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, ECO:0000256|RuleBase:RU000304}, Transferase {ECO:0000256|ARBA:ARBA00022527, ECO:0000256|RuleBase:RU000304}, ATP-binding {ECO:0000256|ARBA:ARBA00022840, ECO:0000256|RuleBase:RU000304}, Serine/threonine-protein kinase {ECO:0000256|ARBA:ARBA00022527,, Proteomics identification {ECO:0000213|EPD:A2AP93,, Kinase {ECO:0000256|ARBA:ARBA00022527, ECO:0000256|RuleBase:RU000304}",,,"magnesium ion binding IEA, MAP kinase kinase kinase activity IEA, ATP binding IEA","GO:0005524, GO:0004709, GO:0000287",,,Mitogen-activated protein kinase kinase kinase 7 {ECO:0000256|ARBA:ARBA00017660},,"GO:0005488, GO:0003824",
50,A2APX3,A2APX3_MOUSE,Mus musculus (Mouse),"Reference proteome {ECO:0000313|Proteomes:UP000000589}, Proteomics identification {ECO:0000213|EPD:A2APX3,, Signal {ECO:0000256|SAM:SignalP}, ECO:0000213|MaxQB:A2APX3, ECO:0000213|PeptideAtlas:A2APX3}",,,cysteine-type endopeptidase inhibitor activity IEA,GO:0004869,,,,,GO:0098772,
51,A2AQ50,A2AQ50_MOUSE,Mus musculus (Mouse),"Transmembrane {ECO:0000256|ARBA:ARBA00022989}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Sodium {ECO:0000256|ARBA:ARBA00023201}, Symport {ECO:0000256|ARBA:ARBA00022847}, Membrane {ECO:0000256|ARBA:ARBA00022989}, Transmembrane helix {ECO:0000256|ARBA:ARBA00022989}, ECO:0000213|PeptideAtlas:A2AQ50}, Proteomics identification {ECO:0000213|MaxQB:A2AQ50,, Transport {ECO:0000256|ARBA:ARBA00022847, ECO:0000256|ARBA:ARBA00023201}, Ion transport {ECO:0000256|ARBA:ARBA00023201}, Sodium transport {ECO:0000256|ARBA:ARBA00023201}","extracellular exosome IEA, integral component of membrane IEA","GO:0016021, GO:0070062",cation,GO:0015377,sodium ion transport IEA,GO:0006814,,GO:0051179,GO:0005215,"GO:0043230, GO:0043227"
52,A2AQA9,A2AQA9_MOUSE,Mus musculus (Mouse),"ProRule:PRU00192}, SH3 domain {ECO:0000256|ARBA:ARBA00022443, ECO:0000256|PROSITE-, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Repeat {ECO:0000256|ARBA:ARBA00022737}, Proteomics identification {ECO:0000213|MaxQB:A2AQA9}","striated muscle thin filament TAS, contractile fiber IDA, protein-containing complex ISO, myofibril ISO, Z disc IDA","GO:0043292, GO:0032991, GO:0030018, GO:0030016, GO:0005865",actin filament binding IBA,GO:0051015,"cardiac muscle thin filament assembly IBA, sarcomere organization TAS, muscle fiber development IBA, regulation of actin filament length TAS","GO:0048747, GO:0030832, GO:0045214, GO:0071691",,"GO:0065007, GO:0009987, GO:0032502",GO:0005488,"GO:0036379, GO:0043228, GO:0043229, GO:0099080"
53,A2AQE4,A2AQE4_MOUSE,Mus musculus (Mouse),"Reference proteome {ECO:0000313|Proteomes:UP000000589}, ECO:0000213|MaxQB:A2AQE4, ECO:0000213|PeptideAtlas:A2AQE4}, Proteomics identification {ECO:0000213|EPD:A2AQE4,","COP9 signalosome IEA, cytoplasm IEA","GO:0005737, GO:0008180",,,,,COP9 signalosome complex subunit 2 {ECO:0000256|ARBA:ARBA00014879},,,GO:0140513
54,Q8BVG9,VIP1_MOUSE,Mus musculus (Mouse)," Reference proteome, Membrane,  Cell membrane,  Phosphoprotein,  Nucleotide-binding, Alternative splicing,  ATP-binding, Transferase,  Kinase,  Cytoplasm","cytosol ISS, plasma membrane ISO","GO:0005829, GO:0005886","diphosphoinositol-pentakisphosphate kinase activity ISS, 5-diphosphoinositol pentakisphosphate 3-kinase activity IEA, inositol heptakisphosphate kinase activity IBA, inositol hexakisphosphate kinase activity ISO, inositol-1,3,4,5,6-pentakisphosphate kinase activity ISS, inositol hexakisphosphate 1-kinase activity IEA, inositol hexakisphosphate 5-kinase activity ISS, inositol hexakisphosphate 3-kinase activity IEA, ATP binding ISS","GO:0033857, GO:0000829, GO:0000832, GO:0102092, GO:0052724, GO:0052723, GO:0000828, GO:0005524, GO:0000827","inositol phosphate biosynthetic process IBA, inositol metabolic process ISS","GO:0032958, GO:0006020",Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 1,"GO:0008152, GO:0009987","GO:0005488, GO:0003824",
55,A2ASW8,A2ASW8_MOUSE,Mus musculus (Mouse),"ECO:0000256|PROSITE-ProRule:PRU00168}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Guanine-nucleotide releasing factor {ECO:0000256|ARBA:ARBA00022658,, ECO:0000213|MaxQB:A2ASW8, ECO:0000213|PeptideAtlas:A2ASW8}, Proteomics identification {ECO:0000213|EPD:A2ASW8,, Coiled coil {ECO:0000256|SAM:Coils}",,,guanyl-nucleotide exchange factor activity IEA,GO:0005085,small GTPase mediated signal transduction IEA,GO:0007264,,"GO:0065007, GO:0009987",GO:0098772,
56,A2AT02,A2AT02_MOUSE,Mus musculus (Mouse),"Reference proteome {ECO:0000313|Proteomes:UP000000589}, Proteomics identification {ECO:0000213|EPD:A2AT02,, ECO:0000213|MaxQB:A2AT02, ECO:0000213|PeptideAtlas:A2AT02}",Golgi stack IEA,GO:0005795,,,,,NSFL1 cofactor p47 {ECO:0000256|ARBA:ARBA00019548},,,GO:0031984
57,A2ATI9,A2ATI9_MOUSE,Mus musculus (Mouse),"ECO:0000213|MaxQB:A2ATI9, ECO:0000213|PeptideAtlas:A2ATI9}, Membrane {ECO:0000256|ARBA:ARBA00023136}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Repeat {ECO:0000256|ARBA:ARBA00022737}, Golgi apparatus {ECO:0000256|ARBA:ARBA00023034}, Proteomics identification {ECO:0000213|EPD:A2ATI9,","membrane IEA, Golgi apparatus IEA","GO:0005794, GO:0016020",,,,,,,,"GO:0043229, GO:0043227"
58,A2AUK8,A2AUK8_MOUSE,Mus musculus (Mouse),"ECO:0000213|MaxQB:A2AUK8, ECO:0000213|PeptideAtlas:A2AUK8}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Phosphoprotein {ECO:0000256|ARBA:ARBA00022553}, Proteomics identification {ECO:0000213|EPD:A2AUK8,",cytoskeleton IEA,GO:0005856,"actin binding IEA, structural molecule activity IEA","GO:0005198, GO:0003779",cortical actin cytoskeleton organization IEA,GO:0030866,,GO:0009987,GO:0005488,"GO:0043228, GO:0043229"
59,A2AV13,A2AV13_MOUSE,Mus musculus (Mouse),"Transmembrane helix {ECO:0000256|ARBA:ARBA00022989,, G-protein coupled receptor {ECO:0000256|ARBA:ARBA00023040,, Receptor {ECO:0000256|ARBA:ARBA00023040, ECO:0000256|RuleBase:RU000688}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Membrane {ECO:0000256|ARBA:ARBA00022475, ECO:0000256|ARBA:ARBA00022989,, ECO:0000256|RuleBase:RU000688}, Cell membrane {ECO:0000256|ARBA:ARBA00022475,, Transducer {ECO:0000256|ARBA:ARBA00023040, ECO:0000256|RuleBase:RU000688}, Olfaction {ECO:0000256|ARBA:ARBA00022725, ECO:0000256|RuleBase:RU363047}, Sensory transduction {ECO:0000256|ARBA:ARBA00022725,, ECO:0000256|RuleBase:RU363047}, Transmembrane {ECO:0000256|ARBA:ARBA00022989,","integral component of membrane ISA, plasma membrane IEA","GO:0005886, GO:0016021","olfactory receptor activity ISA, G protein-coupled receptor activity IEA","GO:0004930, GO:0004984","G protein-coupled receptor signaling pathway ISA, sensory perception of smell ISA","GO:0007186, GO:0007608",Olfactory receptor {ECO:0000256|RuleBase:RU363047},"GO:0032501, GO:0065007, GO:0009987",GO:0060089,
60,A2AVJ7,A2AVJ7_MOUSE,Mus musculus (Mouse),"Membrane {ECO:0000256|ARBA:ARBA00022989, ECO:0000256|SAM:Phobius}, ECO:0000213|MaxQB:A2AVJ7, ECO:0000213|PeptideAtlas:A2AVJ7}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Proteomics identification {ECO:0000213|EPD:A2AVJ7,, ECO:0000256|SAM:Phobius}, Coiled coil {ECO:0000256|SAM:Coils}, Transmembrane helix {ECO:0000256|ARBA:ARBA00022989,, Transmembrane {ECO:0000256|ARBA:ARBA00022989, ECO:0000256|SAM:Phobius}",integral component of endoplasmic reticulum membrane IEA,GO:0030176,,,protein transport IEA,GO:0015031,,GO:0051179,,"GO:0016021, GO:0031300"
61,A2AWB0,A2AWB0_MOUSE,Mus musculus (Mouse),"ECO:0000213|MaxQB:A2AWB0, ECO:0000213|PeptideAtlas:A2AWB0}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Proteomics identification {ECO:0000213|EPD:A2AWB0,",,,GTPase activator activity IEA,GO:0005096,activation of GTPase activity IEA,GO:0090630,,GO:0065007,GO:0098772,
62,A2AWI9,A2AWI9_MOUSE,Mus musculus (Mouse),"SH3 domain {ECO:0000256|ARBA:ARBA00022443}, Proteomics identification {ECO:0000213|EPD:A2AWI9,, ECO:0000213|MaxQB:A2AWI9, ECO:0000213|PeptideAtlas:A2AWI9}, Reference proteome {ECO:0000313|Proteomes:UP000000589}",cytoplasm IEA,GO:0005737,,,,,,,,
63,A2BFF8,A2BFF8_MOUSE,Mus musculus (Mouse),"WD repeat {ECO:0000256|ARBA:ARBA00022574, ECO:0000256|PROSITE-, Dynein {ECO:0000256|ARBA:ARBA00023017}, Proteomics identification {ECO:0000213|EPD:A2BFF8,, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Motor protein {ECO:0000256|ARBA:ARBA00023175}, Repeat {ECO:0000256|ARBA:ARBA00022737}, ProRule:PRU00221}, ECO:0000213|MaxQB:A2BFF8, ECO:0000213|PeptideAtlas:A2BFF8}",cytoplasmic dynein complex IEA,GO:0005868,motor activity IEA,GO:0003774,microtubule-based movement IEA,GO:0007018,,GO:0009987,GO:0003824,"GO:0005875, GO:1902494"
64,A2BGG7,A2BGG7_MOUSE,Mus musculus (Mouse),"Proteomics identification {ECO:0000213|EPD:A2BGG7,, ECO:0000213|MaxQB:A2BGG7, ECO:0000213|PeptideAtlas:A2BGG7}, Reference proteome {ECO:0000313|Proteomes:UP000000589}",,,,,,,,,,
65,A3KBF5,A3KBF5_MOUSE,Mus musculus (Mouse),"Transferase {ECO:0000256|ARBA:ARBA00022527}, Serine/threonine-protein kinase {ECO:0000256|ARBA:ARBA00022527}, Biological rhythms {ECO:0000256|ARBA:ARBA00023108}, Kinase {ECO:0000256|ARBA:ARBA00022527}",,,"MAP kinase activity IEA, ATP binding IEA","GO:0004707, GO:0005524",rhythmic process IEA,GO:0048511,Mitogen-activated protein kinase {ECO:0000256|ARBA:ARBA00012411},,"GO:0005488, GO:0003824",
66,A3KGK3,FR1L4_MOUSE,Mus musculus (Mouse)," Membrane,  Metal-binding,  Reference proteome,  Transmembrane, Repeat,  Calcium,  Transmembrane helix, Alternative splicing",integral component of membrane IEA,GO:0016021,metal ion binding IEA,GO:0046872,plasma membrane organization IBA,GO:0007009,Fer-1-like protein 4,GO:0009987,GO:0005488,
67,A3KGU5,A3KGU5_MOUSE,Mus musculus (Mouse),"ProRule:PRU00192}, Calmodulin-binding {ECO:0000256|ARBA:ARBA00022860}, Actin capping {ECO:0000256|ARBA:ARBA00022467}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, SH3 domain {ECO:0000256|ARBA:ARBA00022443, ECO:0000256|PROSITE-, Actin-binding {ECO:0000256|ARBA:ARBA00023203}, Calcium {ECO:0000256|PROSITE-ProRule:PRU00448}, Cytoplasm {ECO:0000256|ARBA:ARBA00022490}, ECO:0000213|MaxQB:A3KGU5, ECO:0000213|PeptideAtlas:A3KGU5}, Proteomics identification {ECO:0000213|EPD:A3KGU5,, Coiled coil {ECO:0000256|SAM:Coils}","cell cortex IEA, cytoskeleton IEA","GO:0005938, GO:0005856","calcium ion binding IEA, actin binding IEA, calmodulin binding IEA","GO:0005509, GO:0005516, GO:0003779",actin filament capping IEA,GO:0051693,,"GO:0065007, GO:0009987",GO:0005488,"GO:0005737, GO:0043229, GO:0043228"
68,A3KGU7,A3KGU7_MOUSE,Mus musculus (Mouse),"ProRule:PRU00192}, Calmodulin-binding {ECO:0000256|ARBA:ARBA00022860}, Actin capping {ECO:0000256|ARBA:ARBA00022467}, Proteomics identification {ECO:0000213|EPD:A3KGU7,, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Actin-binding {ECO:0000256|ARBA:ARBA00023203}, SH3 domain {ECO:0000256|ARBA:ARBA00022443, ECO:0000256|PROSITE-, Calcium {ECO:0000256|PROSITE-ProRule:PRU00448}, ECO:0000213|MaxQB:A3KGU7, ECO:0000213|PeptideAtlas:A3KGU7}, Cytoplasm {ECO:0000256|ARBA:ARBA00022490}, Coiled coil {ECO:0000256|SAM:Coils}","cell cortex IEA, cytoskeleton IEA","GO:0005938, GO:0005856","calcium ion binding IEA, actin binding IEA, calmodulin binding IEA","GO:0005509, GO:0005516, GO:0003779",actin filament capping IEA,GO:0051693,,"GO:0065007, GO:0009987",GO:0005488,"GO:0005737, GO:0043229, GO:0043228"
69,A3KN70,A3KN70_MOUSE,Mus musculus (Mouse),"ATP-binding {ECO:0000256|ARBA:ARBA00022840}, Nucleotide-binding {ECO:0000256|ARBA:ARBA00022840}",,,"protein kinase activity IEA, ATP binding IEA","GO:0005524, GO:0004672",intracellular signal transduction IEA,GO:0035556,,"GO:0065007, GO:0009987","GO:0005488, GO:0003824",
70,A3R404,A3R404_MOUSE,Mus musculus (Mouse)," Membrane {ECO:0000256|SAM:Phobius}, Transmembrane helix {ECO:0000256|SAM:Phobius}, Mitochondrion {ECO:0000256|RuleBase:RU003661, ECO:0000313|EMBL:ABK792011}, CF(0) {ECO:0000256|ARBA:ARBA00022547, ECO:0000256|RuleBase:RU003661}, Ion transport {ECO:0000256|ARBA:ARBA00022547,, Transmembrane {ECO:0000256|SAM:Phobius}, Hydrogen ion transport {ECO:0000256|ARBA:ARBA00022547,, ATP synthesis {ECO:0000256|ARBA:ARBA00023310}, Acetylation {ECO:0000256|ARBA:ARBA00022990}, ECO:0000256|RuleBase:RU003661},  Hydrolase {ECO:0000313|EMBL:ABK792011}, Transport {ECO:0000256|ARBA:ARBA00022547, ECO:0000256|RuleBase:RU003661}","integral component of membrane IEA, mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) IEA","GO:0000276, GO:0016021","hydrolase activity IEA, proton transmembrane transporter activity IEA","GO:0015078, GO:0016787",ATP synthesis coupled proton transport IEA,GO:0015986,ATP synthase protein 8 {ECO:0000256|RuleBase:RU003661},"GO:0008152, GO:0051179, GO:0009987","GO:0005215, GO:0003824","GO:0098796, GO:0098798"
71,A4FU84,A4FU84_MOUSE,Mus musculus (Mouse),,,,protein phosphatase binding IEA,GO:0019903,regulation of phosphoprotein phosphatase activity IEA,GO:0043666,,GO:0065007,GO:0005488,
72,A4FUT9,FT,Mus musculus (Mouse),"Membrane {ECO:0000256|ARBA:ARBA00022989, ECO:0000256|SAM:Phobius}, Disulfide bond {ECO:0000256|ARBA:ARBA00023157, ECO:0000256|PROSITE-, EGF-like domain {ECO:0000256|ARBA:ARBA00022536, ECO:0000256|PROSITE-, ECO:0000256|SAM:Phobius}, Signal {ECO:0000256|SAM:SignalP}, Transmembrane helix {ECO:0000256|ARBA:ARBA00022989,, Transmembrane {ECO:0000256|ARBA:ARBA00022989, ECO:0000256|SAM:Phobius}, ProRule:PRU00076}",integral component of membrane IEA,GO:0016021,metalloendopeptidase activity IEA,GO:0004222,,,,,GO:0003824,
73,A4FUU9,A4FUU9_MOUSE,Mus musculus (Mouse),"Magnesium {ECO:0000256|ARBA:ARBA00022842}, Metal-binding {ECO:0000256|ARBA:ARBA00022723}, Transferase {ECO:0000256|ARBA:ARBA00022695}, ATP-binding {ECO:0000256|ARBA:ARBA00022840}, Nucleotide-binding {ECO:0000256|ARBA:ARBA00022840}, Nucleotidyltransferase {ECO:0000256|ARBA:ARBA00022695}",,,"nucleotidyltransferase activity IEA, metal ion binding IEA, ATP binding IEA","GO:0016779, GO:0005524, GO:0046872",,,Selenoprotein O {ECO:0000256|ARBA:ARBA00020490},,"GO:0005488, GO:0003824",
74,A4PI83,A4PI83_MOUSE,Mus musculus (Mouse),,presynapse IEA,GO:0098793,,,"synaptic vesicle exocytosis IEA, dense core granule exocytosis IEA","GO:0016079, GO:1990504",,"GO:0051179, GO:0009987",,
75,A5A4Z2,A5A4Z2_MOUSE,Mus musculus (Mouse),Protein phosphatase inhibitor {ECO:0000256|ARBA:ARBA00023272},,,protein serine/threonine phosphatase inhibitor activity IEA,GO:0004865,,,E3 ubiquitin-protein ligase PPP1R11 {ECO:0000256|ARBA:ARBA00021994},,GO:0098772,
76,A5JUZ1,A5JUZ1_MOUSE,Mus musculus (Mouse),,,,,,,,,,,
77,A6H6D4,A6H6D4_MOUSE,Mus musculus (Mouse),"Transmembrane helix {ECO:0000256|ARBA:ARBA00022989,, G-protein coupled receptor {ECO:0000256|ARBA:ARBA00023040,, Receptor {ECO:0000256|ARBA:ARBA00023040, ECO:0000256|RuleBase:RU000688}, Membrane {ECO:0000256|ARBA:ARBA00022475, ECO:0000256|ARBA:ARBA00022989,, ECO:0000256|RuleBase:RU000688}, Cell membrane {ECO:0000256|ARBA:ARBA00022475,, Transducer {ECO:0000256|ARBA:ARBA00023040, ECO:0000256|RuleBase:RU000688}, Olfaction {ECO:0000256|ARBA:ARBA00022725, ECO:0000256|RuleBase:RU363047}, Sensory transduction {ECO:0000256|ARBA:ARBA00022725,, ECO:0000256|RuleBase:RU363047}, Transmembrane {ECO:0000256|ARBA:ARBA00022989,","integral component of membrane ISA, plasma membrane IBA","GO:0005886, GO:0016021","olfactory receptor activity ISA, G protein-coupled receptor activity IEA","GO:0004930, GO:0004984","G protein-coupled receptor signaling pathway ISA, sensory perception of smell ISA","GO:0007186, GO:0007608",Olfactory receptor {ECO:0000256|RuleBase:RU363047},"GO:0032501, GO:0065007, GO:0009987",GO:0060089,
78,A6H6F2,A6H6F2_MOUSE,Mus musculus (Mouse),"Transmembrane {ECO:0000256|ARBA:ARBA00022989}, Membrane {ECO:0000256|ARBA:ARBA00022989}, Receptor {ECO:0000313|EMBL:AAI458561}, Signal {ECO:0000256|ARBA:ARBA00022729, ECO:0000256|SAM:SignalP}, Transmembrane helix {ECO:0000256|ARBA:ARBA00022989}",integral component of plasma membrane IBA,GO:0005887,"G protein-coupled receptor activity IBA, signaling receptor activity IBA","GO:0038023, GO:0004930",,,,,GO:0060089,"GO:0016021, GO:0031226"
79,A6X925,A6X925_MOUSE,Mus musculus (Mouse),"ECO:0000213|MaxQB:A6X925, ECO:0000213|PeptideAtlas:A6X925}, Proteomics identification {ECO:0000213|EPD:A6X925,, Reference proteome {ECO:0000313|Proteomes:UP000000589}",,,,,,,,,,
80,A7E1Z5,A7E1Z5_MOUSE,Mus musculus (Mouse),"Transmembrane helix {ECO:0000256|ARBA:ARBA00022989,, Transport {ECO:0000256|ARBA:ARBA00023065, ECO:0000256|RuleBase:RU362035}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Ion transport {ECO:0000256|ARBA:ARBA00023065,, Membrane {ECO:0000256|ARBA:ARBA00022989, ECO:0000256|RuleBase:RU362035}, Proteomics identification {ECO:0000213|MaxQB:A7E1Z5,, ECO:0000213|PeptideAtlas:A7E1Z5}, ECO:0000256|RuleBase:RU362035}, Transmembrane {ECO:0000256|ARBA:ARBA00022989,",integral component of membrane IEA,GO:0016021,inorganic anion exchanger activity IEA,GO:0005452,,,Anion exchange protein {ECO:0000256|RuleBase:RU362035},,GO:0005215,
81,A7VJ98,A7VJ98_MOUSE,Mus musculus (Mouse),Growth factor {ECO:0000256|PIRNR:PIRNR001788},,,"Arp2/3 complex binding IEA, actin binding IEA, growth factor activity IEA","GO:0008083, GO:0071933, GO:0003779",negative regulation of Arp2/3 complex-mediated actin nucleation IEA,GO:0034316,Glia maturation factor {ECO:0000256|PIRNR:PIRNR001788},"GO:0065007, GO:0009987","GO:0005488, GO:0098772",
82,A7VL18,A7VL18_MOUSE,Mus musculus (Mouse),"Oxidoreductase {ECO:0000256|ARBA:ARBA00023002,, ECO:0000256|RuleBase:RU003345}",,,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor IEA",GO:0016620,,,,,GO:0003824,
83,A8ASF5,A8ASF5_MOUSE,Mus musculus (Mouse),"Fatty acid metabolism {ECO:0000256|ARBA:ARBA00022832}, ECO:0000313|EMBL:BAF796721}, Membrane {ECO:0000256|ARBA:ARBA00022787, ECO:0000256|ARBA:ARBA00022989,,  Mitochondrion {ECO:0000256|ARBA:ARBA00022787}, Lipid metabolism {ECO:0000256|ARBA:ARBA00022832}, ECO:0000256|SAM:Phobius}, Mitochondrion outer membrane {ECO:0000256|ARBA:ARBA00022787}, Transferase {ECO:0000256|ARBA:ARBA00023315, ECO:0000313|EMBL:BAF796721}, Transmembrane helix {ECO:0000256|ARBA:ARBA00022989,, Transmembrane {ECO:0000256|ARBA:ARBA00022989, ECO:0000256|SAM:Phobius}, Acyltransferase {ECO:0000256|ARBA:ARBA00023315,","integral component of membrane IEA, mitochondrial outer membrane IEA","GO:0016021, GO:0005741",carnitine O-palmitoyltransferase activity IEA,GO:0004095,fatty acid beta-oxidation IEA,GO:0006635,Carnitine O-palmitoyltransferase {ECO:0000256|ARBA:ARBA00013243},"GO:0008152, GO:0009987",GO:0003824,"GO:0031090, GO:0019867"
