,Uniprot Entry,Accession Name,Name,Organism,GO Cellular Components,GO ID CC,GO Biological Process,GO ID BP,Keywords,GO Molecular Function,GO ID MF,Biological Process Label,Molecular Function Label,Cellular Component Label
34,O09047,FT,C3a anaphylatoxin chemotactic receptor,Mus musculus (Mouse),"plasma membrane ISO, integral component of membrane IEA","GO:0016021, GO:0005886","complement receptor mediated signaling pathway ISO, positive regulation of vascular endothelial growth factor production IMP, tolerance induction to nonself antigen ISO, chemotaxis IEA, positive regulation of glomerular mesangial cell proliferation ISO, positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G protein-coupled signaling pathway ISO, positive regulation of cell migration ISO, positive regulation of neutrophil chemotaxis IMP, positive regulation of angiogenesis IMP, positive regulation of DNA biosynthetic process ISO, positive regulation of cytosolic calcium ion concentration ISO, positive regulation of macrophage chemotaxis IMP, positive regulation of smooth muscle cell proliferation ISO, phospholipase C-activating G protein-coupled receptor signaling pathway IBA, inflammatory response IBA, regulation of blood pressure ISO","GO:0051482, GO:2000573, GO:0030335, GO:0072126, GO:0008217, GO:0045766, GO:0090023, GO:0002430, GO:0010575, GO:0007204, GO:0002462, GO:0006935, GO:0006954, GO:0007200, GO:0010759, GO:0048661"," Reference proteome, Cell membrane,  Disulfide bond, Glycoprotein,  Membrane,  Receptor,  Transmembrane,  Transmembrane helix,  Phosphoprotein,  Chemotaxis, Sulfation,  Transducer,  G-protein coupled receptor","complement receptor activity IBA, complement component C3a receptor activity ISO, G protein-coupled receptor activity ISO, complement component C3a binding ISO","GO:0004875, GO:0001850, GO:0004876, GO:0004930","GO:0002376, GO:0009987, GO:0040011, GO:0050896, GO:0065007","GO:0005488, GO:0060089",GO:0031224
35,O35066,KIF3C_MOUSE,Kinesin-like protein KIF3C,Mus musculus (Mouse),"microtubule plus-end ISO, cytosol TAS, microtubule IBA, membrane ISO, dendrite ISO, kinesin complex IBA, axon ISO, growth cone ISO, neuronal ribonucleoprotein granule ISO, synaptic vesicle ISO, neuronal cell body ISO","GO:0005829, GO:0030424, GO:0005874, GO:0035371, GO:0030425, GO:0008021, GO:0016020, GO:0071598, GO:0005871, GO:0030426, GO:0043025","microtubule-based movement IBA, positive regulation of neuron projection development ISO, organelle transport along microtubule IMP","GO:0007018, GO:0072384, GO:0010976","3D-structure,  Nucleotide-binding,  Reference proteome,  Cytoplasm,  Coiled coil,  Motor protein, Microtubule,  Cytoskeleton,  ATP-binding","ATPase activity IBA, microtubule motor activity IBA, ATP binding IEA, microtubule binding ISO, kinesin binding ISO","GO:0019894, GO:0016887, GO:0003777, GO:0008017, GO:0005524","GO:0051179, GO:0065007, GO:0009987","GO:0003824, GO:0005488","GO:0043228, GO:0099080, GO:0043227, GO:0042995, GO:0044297, GO:0030427, GO:1990752, GO:0005875, GO:0043229"
36,O35099,M3K5_MOUSE,Mitogen-activated protein kinase kinase kinase 5,Mus musculus (Mouse),"external side of plasma membrane ISO, IRE1-TRAF2-ASK1 complex ISO, protein kinase complex ISO, cytosol ISO, cytoplasm ISO, protein-containing complex ISO","GO:1990604, GO:0005829, GO:0005737, GO:0009897, GO:1902911, GO:0032991","JNK cascade ISO, positive regulation of cardiac muscle cell apoptotic process ISO, intrinsic apoptotic signaling pathway in response to oxidative stress IDA, positive regulation of neuron death IMP, protein phosphorylation ISO, activation of MAPKK activity ISO, positive regulation of apoptotic process IDA, endothelial cell apoptotic process IEA, response to ischemia IEA, cellular response to amino acid starvation ISO, stress-activated MAPK cascade ISO, cellular response to hydrogen peroxide ISO, response to endoplasmic reticulum stress IMP, activation of MAPK activity IDA, regulation of cell death IGI, MAPK cascade ISS, positive regulation of JNK cascade IMP, programmed necrotic cell death IMP, positive regulation of protein phosphorylation ISO, intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress IMP, cellular response to reactive nitrogen species IMP, p38MAPK cascade IEP, positive regulation of transcription, DNA-templated ISO, wound healing IEA, positive regulation of myoblast differentiation IDA, positive regulation of vascular associated smooth muscle cell proliferation ISO, positive regulation of cysteine-type endopeptidase activity involved in apoptotic process ISO, positive regulation of JUN kinase activity ISO, innate immune response IEA, positive regulation of p38MAPK cascade ISO, cellular response to tumor necrosis factor IEA","GO:1904707, GO:0045087, GO:0071356, GO:0010666, GO:0043280, GO:0097300, GO:0045893, GO:1901216, GO:0000187, GO:0046330, GO:0043065, GO:1900745, GO:0043507, GO:0002931, GO:0070059, GO:0008631, GO:0010941, GO:0006468, GO:0034976, GO:0000186, GO:1902170, GO:0070301, GO:0000165, GO:0038066, GO:0034198, GO:0007254, GO:0051403, GO:0045663, GO:0042060, GO:0001934, GO:0072577","Apoptosis,  Reference proteome,  Magnesium,  Cytoplasm, Nucleotide-binding,  Coiled coil,  Stress response,  Metal-binding,  Endoplasmic reticulum, Immunity, Ubl conjugation,  Kinase,  Innate immunity,  Phosphoprotein,  Transferase, Serine/threonine-protein kinase,  ATP-binding","protein homodimerization activity ISS, magnesium ion binding ISS, protein phosphatase binding ISO, protein kinase activity ISO, ATP binding ISS, protein kinase binding IPI, identical protein binding ISO, protein domain specific binding ISO, MAP kinase kinase kinase activity IDA","GO:0019903, GO:0019904, GO:0042802, GO:0000287, GO:0019901, GO:0004672, GO:0004709, GO:0042803, GO:0005524","GO:0002376, GO:0009987, GO:0044419, GO:0008152, GO:0050896, GO:0065007","GO:0003824, GO:0005488","GO:0098796, GO:1902494, GO:0098552, GO:0140534"
37,O35185,BHE40_MOUSE,Class E basic helix-loop-helix protein 40,Mus musculus (Mouse),"cytoplasm IEA, nuclear body ISO, nucleus IDA, nucleoplasm TAS","GO:0016604, GO:0005737, GO:0005634, GO:0005654","negative regulation of transcription by RNA polymerase II ISO, entrainment of circadian clock by photoperiod IMP, regulation of circadian rhythm IMP, regulation of neurogenesis IBA, anterior/posterior pattern specification IBA, circadian rhythm IEP, circadian regulation of gene expression IMP, regulation of transcription by RNA polymerase II IBA, response to light stimulus IEP, negative regulation of transcription, DNA-templated IDA, negative regulation of DNA-binding transcription factor activity ISO","GO:0000122, GO:0032922, GO:0045892, GO:0007623, GO:0009952, GO:0009416, GO:0043153, GO:0042752, GO:0006357, GO:0043433, GO:0050767"," Reference proteome,  Repressor,  Cytoplasm, Transcription regulation,  Transcription,  Ubl conjugation,  Nucleus, Phosphoprotein,  Isopeptide bond, Biological rhythms,  DNA-binding","RNA polymerase II cis-regulatory region sequence-specific DNA binding IDA, protein heterodimerization activity ISO, DNA-binding transcription factor activity, RNA polymerase II-specific IDA, MRF binding IDA, DNA-binding transcription repressor activity, RNA polymerase II-specific IDA, protein homodimerization activity ISO, E-box binding IDA, RNA polymerase II activating transcription factor binding IDA, sequence-specific double-stranded DNA binding ISO, bHLH transcription factor binding ISO, DNA binding IDA, protein domain specific binding ISO","GO:0000981, GO:0003677, GO:0001227, GO:0001102, GO:1990837, GO:0043425, GO:0019904, GO:0043426, GO:0000978, GO:0070888, GO:0046982, GO:0042803","GO:0032501, GO:0065007, GO:0048511, GO:0050896","GO:0140110, GO:0005488","GO:0043229, GO:0043227"
38,O35235,TNF11_MOUSE,Tumor necrosis factor ligand superfamily member 11,Mus musculus (Mouse),"cytoplasm IEA, plasma membrane IEA, integral component of membrane IEA, extracellular space IEA","GO:0016021, GO:0005886, GO:0005737, GO:0005615","bone resorption IDA, positive regulation of osteoclast differentiation IDA, activation of JUN kinase activity IDA, ERK1 and ERK2 cascade IDA, TNFSF11-mediated signaling pathway IDA, positive regulation of protein kinase B signaling IMP, positive regulation of corticotropin-releasing hormone secretion IDA, positive regulation of phosphorylation IDA, cellular response to leukemia inhibitory factor IEP, osteoclast proliferation IDA, positive regulation of gene expression IDA, regulation of osteoclast differentiation IDA, immune response IEA, mammary gland alveolus development IMP, lymph node development TAS, calcium ion homeostasis IGI, positive regulation of ERK1 and ERK2 cascade via TNFSF11-mediated signaling ISO, positive regulation of T cell activation ISO, monocyte chemotaxis ISO, tumor necrosis factor-mediated signaling pathway IGI, positive regulation of transcription by RNA polymerase II ISO, bone development IMP, positive regulation of fever generation by positive regulation of prostaglandin secretion IDA, osteoclast development IDA, positive regulation of NF-kappaB transcription factor activity ISO, tooth eruption IMP, positive regulation of I-kappaB kinase/NF-kappaB signaling IDA, regulation of actin binding IDA, positive regulation of JNK cascade IGI, ossification IMP, animal organ morphogenesis IMP, mammary gland epithelial cell proliferation IMP, positive regulation of intracellular signal transduction ISO, calcium-mediated signaling IDA, positive regulation of osteoclast development IDA, positive regulation of DNA-binding transcription factor activity IDA, osteoclast differentiation IDA, positive regulation of homotypic cell-cell adhesion ISO, positive regulation of MAP kinase activity ISO, paracrine signaling IDA, cytokine-mediated signaling pathway ISO, positive regulation of bone resorption ISO","GO:0071848, GO:0002158, GO:0051466, GO:1990830, GO:2001206, GO:0045780, GO:0006955, GO:0071847, GO:0009887, GO:0055074, GO:0051897, GO:0036035, GO:0070371, GO:0030316, GO:0045944, GO:0045672, GO:0046330, GO:0001503, GO:0038001, GO:0034112, GO:0071812, GO:0051092, GO:0019722, GO:0060749, GO:0007257, GO:0060348, GO:0045453, GO:0033209, GO:0051091, GO:0002548, GO:0043406, GO:0043123, GO:0050870, GO:1902533, GO:0048535, GO:0010628, GO:0019221, GO:0042327, GO:1904616, GO:0033598, GO:0045670, GO:0044691","3D-structure,  Reference proteome, Signal-anchor,  Cytoplasm,  Alternative splicing,  Secreted, Developmental protein, Glycoprotein,  Transmembrane,  Membrane,  Receptor,  Transmembrane helix,  Cell membrane,  Direct protein sequencing,  Differentiation,  Cytokine","tumor necrosis factor receptor superfamily binding IPI, cytokine activity ISO, tumor necrosis factor receptor binding IEA, identical protein binding IPI","GO:0042802, GO:0005125, GO:0032813, GO:0005164","GO:0002376, GO:0023052, GO:0009987, GO:0032502, GO:0040011, GO:0050896, GO:0032501, GO:0065007","GO:0098772, GO:0005488",GO:0031224
39,O35242,FAN_MOUSE,Protein FAN,Mus musculus (Mouse),,,positive regulation of apoptotic process ISO,GO:0043065,"Reference proteome,  WD repeat,  Repeat","sphingomyelin phosphodiesterase activator activity ISO, death receptor binding TAS","GO:0005123, GO:0016230",GO:0065007,"GO:0098772, GO:0005488",
40,O35345,IMA7_MOUSE,Importin subunit alpha-7,Mus musculus (Mouse),"cytoplasm IEA, nucleus IBA, host cell IEA, nucleoplasm IBA","GO:0043657, GO:0005737, GO:0005634, GO:0005654","mitigation of host defenses by symbiont IMP, protein import into nucleus IDA, positive regulation of transcription by RNA polymerase II IMP, positive regulation of viral life cycle IMP, maternal process involved in female pregnancy IMP, entry of viral genome into host nucleus through nuclear pore complex via importin IMP, NLS-bearing protein import into nucleus IBA, viral genome replication IMP, positive regulation of cytokine production involved in inflammatory response IMP","GO:0045944, GO:1903902, GO:1900017, GO:0006607, GO:0019079, GO:0006606, GO:0075506, GO:0030682, GO:0060135"," Cytoplasm,  Repeat, Acetylation,  Transport, Reference proteome,  Protein transport,  Phosphoprotein","nuclear localization sequence binding IBA, nuclear import signal receptor activity IDA","GO:0008139, GO:0061608","GO:0009987, GO:0044419, GO:0051179, GO:0051704, GO:0050896, GO:0065007, GO:0022414","GO:0005488, GO:0140104","GO:0043229, GO:0018995, GO:0043227"
41,O35393,FT,Ephrin-B3,Mus musculus (Mouse),"integral component of presynaptic membrane IDA, integral component of postsynaptic density membrane ISO, plasma membrane ISO, glutamatergic synapse IDA, hippocampal mossy fiber to CA3 synapse IDA","GO:0098686, GO:0005886, GO:0098978, GO:0099056, GO:0099061","trans-synaptic signaling by trans-synaptic complex, modulating synaptic transmission IDA, ephrin receptor signaling pathway ISO, adult walking behavior IMP, axon guidance IMP, axon choice point recognition IMP, negative regulation of axonogenesis IDA, T cell costimulation IDA","GO:0099557, GO:0031295, GO:0050771, GO:0007411, GO:0048013, GO:0007628, GO:0016198","3D-structure,  Methylation,  Neurogenesis,  Disulfide bond, Glycoprotein,  Membrane,  Transmembrane,  Transmembrane helix,  Developmental protein, Reference proteome,  Signal,  Phosphoprotein,  Differentiation",ephrin receptor binding ISO,GO:0046875,"GO:0002376, GO:0023052, GO:0009987, GO:0032501, GO:0065007, GO:0007610",GO:0005488,"GO:0030054, GO:0031224"
42,O35405,PLD3_MOUSE,5'-3' exonuclease PLD3,Mus musculus (Mouse),"endoplasmic reticulum membrane ISO, integral component of membrane IEA, late endosome membrane IDA, Golgi membrane ISS, early endosome membrane ISO, lysosomal membrane IDA, lysosomal lumen ISO","GO:0031901, GO:0043202, GO:0005765, GO:0000139, GO:0005789, GO:0016021, GO:0031902","myotube differentiation ISO, inflammatory response IEA, regulation of cytokine production involved in inflammatory response IMP, innate immune response IEA","GO:1900015, GO:0045087, GO:0006954, GO:0014902"," Hydrolase, Signal-anchor,  Reference proteome,  Exonuclease, Endoplasmic reticulum, Innate immunity, Golgi apparatus,  Immunity,  Lysosome,  Membrane,  Repeat,  Transmembrane,  Transmembrane helix,  Nuclease,  Glycoprotein,  Endosome,  Inflammatory response,  Ubl conjugation","phospholipase D activity ISS, single-stranded DNA 5'-3' exodeoxyribonuclease activity IDA","GO:0045145, GO:0004630","GO:0002376, GO:0009987, GO:0044419, GO:0032502, GO:0050896, GO:0065007",GO:0003824,"GO:0031974, GO:0031090, GO:0031224"
43,O35450,FKBPL_MOUSE,FK506-binding protein-like,Mus musculus (Mouse),extracellular region ISO,GO:0005576,"regulation of angiogenesis IMP, regulation of blood vessel branching IMP","GO:1905553, GO:0045765"," Reference proteome, Phosphoprotein,  TPR repeat,  Repeat",,,GO:0065007,,
44,O35454,CLCN6_MOUSE,Chloride transport protein 6,Mus musculus (Mouse),"intracellular membrane-bounded organelle IBA, integral component of membrane IEA, endosome membrane IEA","GO:0010008, GO:0043231, GO:0016021",response to mechanical stimulus ISO,GO:0009612," Nucleotide-binding,  Reference proteome,  Chloride,  Repeat,  Ion transport, Alternative splicing,  Membrane,  Transmembrane,  Transport,  Antiport,  Glycoprotein,  CBS domain, Phosphoprotein, Endosome, Transmembrane helix,  ATP-binding","transmembrane transporter activity IBA, ATP binding IEA, voltage-gated chloride channel activity IEA, chloride transmembrane transporter activity IBA, antiporter activity IEA","GO:0005247, GO:0022857, GO:0015297, GO:0015108, GO:0005524",GO:0050896,"GO:0005488, GO:0005215","GO:0031224, GO:0043229, GO:0031090, GO:0043227"
45,O35464,FT,Semaphorin-6A,Mus musculus (Mouse),"membrane NAS, axon NAS, extracellular space IBA, integral component of plasma membrane IDA, plasma membrane TAS","GO:0005887, GO:0005886, GO:0030424, GO:0016020, GO:0005615","negative regulation of angiogenesis ISO, negative regulation of cell adhesion involved in sprouting angiogenesis ISO, negative regulation of sprouting angiogenesis ISO, semaphorin-plexin signaling pathway IMP, neuron migration IMP, positive regulation of cell migration IBA, centrosome localization IMP, apoptotic process NAS, negative regulation of ERK1 and ERK2 cascade ISO, axon guidance IMP, cellular response to vascular endothelial growth factor stimulus ISO, negative regulation of vascular endothelial growth factor signaling pathway ISO, neural crest cell migration IBA, positive regulation of neuron migration IMP, cell surface receptor signaling pathway IDA, negative regulation of axon extension involved in axon guidance IBA, negative chemotaxis IBA","GO:0048843, GO:0016525, GO:0030335, GO:0001764, GO:0051642, GO:0035924, GO:0007166, GO:0007411, GO:1900747, GO:2001224, GO:0071526, GO:1903671, GO:0001755, GO:0050919, GO:0070373, GO:0006915, GO:0106089","3D-structure,  Reference proteome,  Alternative splicing,  Neurogenesis,  Disulfide bond,  Transmembrane,  Membrane, Differentiation,  Developmental protein,  Glycoprotein, Phosphoprotein,  Cell membrane,  Signal, Transmembrane helix","transmembrane signaling receptor activity IMP, semaphorin receptor binding IGI, chemorepellent activity IBA, identical protein binding IPI","GO:0004888, GO:0042802, GO:0045499, GO:0030215","GO:0009987, GO:0051179, GO:0040011, GO:0050896, GO:0065007","GO:0098772, GO:0005488, GO:0060089","GO:0042995, GO:0031224"
